gnuEASY
     1.000000    0.000000
     0.992800    0.002150
     0.979890    0.005880
     0.963520    0.010530
     0.944550    0.015800
     0.923500    0.021500
     0.900750    0.027500
     0.876580    0.033690
     0.851230    0.039990
     0.824890    0.046330
     0.797740    0.052650
     0.769910    0.058910
     0.741540    0.065060
     0.712750    0.071060
     0.683650    0.076890
     0.654340    0.082510
     0.624920    0.087890
     0.595470    0.093000
     0.566070    0.097820
     0.536800    0.102320
     0.507740    0.106480
     0.478950    0.110270
     0.450500    0.113670
     0.422460    0.116650
     0.394880    0.119190
     0.367820    0.121270
     0.341350    0.122880
     0.315510    0.123980
     0.290350    0.124580
     0.265940    0.124650
     0.242310    0.124180
     0.219510    0.123140
     0.197600    0.121580
     0.176610    0.119260
     0.156600    0.115940
     0.137600    0.111610
     0.119650    0.106390
     0.102800    0.100360
     0.087090    0.093620
     0.072560    0.086280
     0.059240    0.078440
     0.047170    0.070200
     0.036390    0.061670
     0.026940    0.052910
     0.018850    0.044080
     0.012150    0.035070
     0.006880    0.026340
     0.003080    0.017250
     0.000780    0.008750
     0.000000    0.000000
     0.000780   -0.008300
     0.003080   -0.015560
